Datetime,username,Text,language,coordinates
2019-05-29 12:22:11+00:00,machokotoalfred,@advocatemnyama @DrNkosana The good Doctor is not building on wht he did. Come 2023 APA will still be unknown. How we yearn for a third alternative 😩😩😩,en,"Coordinates(longitude=5.0949925, latitude=52.085001)"
2019-05-26 08:31:27+00:00,iTrainEU,"@IssuesOn1 @DrPanMD As long as we sustain the illusion that the health system must be market driven, we should expect medical doctors to become creative 'entrepreneurs' in selling what the customer wants.

Exemption for vaccination? Sure, for 37 €!",en,"Coordinates(longitude=5.1195597, latitude=51.9594995)"
2019-05-22 12:08:58+00:00,halseyqueers,So my doctor called... I don't have enough vitamin D *acts surprised*,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-05-21 08:23:59+00:00,halseyqueers,"This morning at the doctor I had to give 10 tubes of blood, I'm still impressed that I can breathe right now",en,"Coordinates(longitude=4.8686294, latitude=52.0100786)"
2019-05-16 05:58:20+00:00,JMKimstra,"What?! At the doctors on my birthday? Yeah, no biggy just a little odd scab on my eyelid. (@ Huisartsen Gezondheidscentrum De Bilt in De Bilt, UT) https://t.co/LVOhJJcxdl",en,"Coordinates(longitude=5.1866082, latitude=52.1114462)"
2019-05-10 10:11:35+00:00,peterkinderman,"@doctor_oxford ... all forms of Brexit, even mythical 'lexit' versions",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-04-27 04:34:03+00:00,DangerousGlobe,"@NialElkim @OmartheWonder @dancohen3000 @ceprdc Every POTUS since, and including Ronald Reagan, has done everything they were told to do by the US War Doctors. This works for me....
https://t.co/mzPzbV6X2N",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2019-04-25 18:03:28+00:00,Timbonex,"@chantalverwoert @nietberke Ik heb Doctor Strange zonder 3D bril gezien, je kon het niet volgen
Is bij die film sowieso moelijk",nl,"Coordinates(longitude=4.7919685, latitude=52.0649667)"
2019-04-18 20:06:38+00:00,SNEMeeuwissen,"Today, UBC’s Dr. Anneke van Enk taught in English ánd Dutch about storytelling: are your readers medical doctors, educators, and/or policy makers? About engaging your audience and finding the right balance between theory and practice @NVMO1972 @NVMOpromovendi @ubcMedCHES #MedEd",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-04-11 13:58:59+00:00,SYNbit,"@doctor_julz If you build software the way you build buildings, the result will be only as complex as the most complex building. But building  software is way more complex than that. #sue2019",en,"Coordinates(longitude=5.1140838, latitude=51.8472111)"
2019-04-11 13:46:51+00:00,roelandjansen,last talk of today by @doctor_julz here @Snow_BV #sue2019 https://t.co/XtF6lKU9GB,en,"Coordinates(longitude=5.1140838, latitude=51.8472111)"
2019-04-08 08:46:56+00:00,Aviriia,"▶️ Doesn’t feel to good the last week.

▶️ It only gets worse with coughing.

▶️ Decides to visit the doctor.

.... How does someone even get a acute bronchitis infection🤔 https://t.co/2gvOChnGkl",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2019-04-05 23:48:41+00:00,TuniNed,@doctor_dinkaaa I might have to google it just to see,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-04-05 23:45:56+00:00,TuniNed,@doctor_dinkaaa 🤔🤔🤔🤔,und,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-04-05 10:50:29+00:00,finapres,Good overview article a must read article for all doctors who are in contact with orthostatic low Bp patients https://t.co/DTgXpjHwo4,en,"Coordinates(longitude=5.212289, latitude=52.165452)"
2019-04-01 20:42:15+00:00,BBakkerCamu,"Youth health nurses and doctors, you are invited! https://t.co/ggaVYXrzhx",en,"Coordinates(longitude=4.9785895, latitude=51.9910385)"
2019-03-11 00:18:22+00:00,rufatweets,"@NotGeauxGabby @jetvanriel Ah, well... Although I get your point, it's never been that of a big problem for me 🤷 So, personally I find the picture actually cute, yes.

But still, I think woman can be very good doctors and man very kind nurses (equal ✌️✊👍)",en,"Coordinates(longitude=5.137385, latitude=52.2557636)"
